@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
26184,'','Bug 1100256 - Unxfail test_browser_save_image.py, as Bug 1098338 is fixe...\n...d'
26182,'','Bug 1081731 - Locales follow-up, use brandShortName +autoland\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1081731'
26180,'','Bug 1097564 - Support promise for NFC related WebAPI\n'
26178,'','Bug 1098663 - [Stingray][System] Rename System to Services to prevent co...\n...nflict with ES6'
26176,'','Bug 1097564 - Support promise for NFC related WebAPI\n'
26175,'','Bug 1094069 - [Stingray][Settings] implement option menu and use landing...\n... app as an example'
26174,'','Bug 1022728 - Prevent building gaia when running ./build.sh gecko\n'
26173,'','Revert "Bug 1022728 - Prevent building gaia when running ./build.sh geck...\nReverts mozilla-b2g/gaia#26101'
26171,'','Bug 1014405 - [Stingray] Keyboard event handling in Gaia, r=johnhu\nSupport hardware key event dispatching across browser element'
26170,'','Bug 973450 - [settings] refactor Device information panel with AMD patte...\n...rn'
26169,'','add default_theme to Flatfish tablet\n'
26164,'','Bug 1096603 - (reopened) Fix blank FxA screen by loading renamed service.js file r=gduan\nSee Bugzilla for discussion.'
26163,'','Bug 1098118 - Pass correct number of params to sendTouchEvent. r=alive\n'
26160,'','Merge pull request #25819 from mikehenrty/bug-1090152-fix-icon-visibilit...\n...y\r\n\r\nBug 1090152 - Make sure we display statusbar icons on lockscreen even wi...\r\nConflicts:\r\n\tapps/system/test/marionette/lib/statusbar.js'
26158,'','Bug 1097136 - [Gallery] Blank screen appears when opening Gallery when U...\n...SB is connected'
26157,'','Bug 1092424 - Update Tarako Marketplace r=fabrice\n'
26153,'','Bug 1099055 - Fix rocketbar collapse being disabled by anchor links. r=etienne\n'
26152,'','Bug 1066243 - [Status Bar][Battery] Battery indicator not always properl...\n...y updating when charging/disconnecting'
26149,'','Bug 1099041 - Add the manifest file that sets the default values as a de...\n...pendency to the others'
26146,'','Bug 1082938 - [Music] set play status to playing when play event fires\n'
26145,'','Bug 1090281 - Investigate failure in test_setup_and_send_imap_email.py\n'
26144,'','Bug 1082938 - [Music] set play status to playing when play event fires\n'
26143,'','Bug 1098300 - [v2.2] Investigate test_dialer_miss_call_from_known_contac...\n...t_notification.py intermittent failure'
26142,'','Bug 1099041 - Add the manifest file that sets the default values as a de...\n...pendency to the others'
26141,'','Bug 1099034 - [Follow-up][settings] refactor Hotspot panel with AMD pattern r=arthurcc\n...ern'
26138,'','Bug 1098338 - Fix one more BrowserAPI usage. r=alive\n'
26137,'',"Bug 1094781 - [Dialer][Callscreen] The call on hold shouldn't be red (follow up 977588)\n"
26136,'','Bug 1098979 - Xfail test_browser_save_image.py because of Bug 1098338\n'
26135,'','Bug 1032659 - Replace font-weight: lighter with 300 (v2.0m)\n'
26132,'','Bug 1098955 - Remove InputWindow._getDpx(); use Object.defineProperty to mock window.devicePixelRatio\n'
26131,'',"Bug 1092948 - [FFOS2.0][Woodduck][Browser]Can't turn to landscape mode o...\n...n editing bookmark screen when add bookmark to Home screen\r\n\r\n* Remove incorrect orientation setting in manifest.webapp"
26130,'','Bug 1086686 - [2.1][l10n][Settings] Basque: The USB button header text\n"USB storage" is truncated'
26129,'','Bug 1098684 - Hide the AP PIN item r=eragonj\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1098684'
26128,'','Bug 1097117 - [email] Accept share activities with type application/*\n'
26126,'','Bug 1088157 - Unlock lockScreen when FTU starts. r=timdream\n'
26125,'','Bug1077595\n'
26124,'','Revert "Merge pull request #25589 from nullaus/bug1077595"\nThis reverts commit e9ac899aff346b2cef9be154290978fc18d1bc8f, reversing\r\nchanges made to 155f44a3063fdb7599208de9749ad487b870dd06.'
26123,'','Bug1087060-[Gallery]-Forward and back arrows should not overlap r=wilsonpage\n'
26122,'','Bug 1066607 - Use the BrowserConfigHelper for new tabs to fix the missin...\n...g origin issues.'
26121,'','Bug 1098279 - Add -dsds to existing Jenkins jobs\n'
26120,'','Bug 1098279 - Add -dsds to existing Jenkins jobs\n'
26118,'','Bug 1084010 - [Usage][Cost Control] Browser icon should not appear in Mo...\n...bile App Usage list'
26116,'','Bug 1097754 - Investigate intermittent failure of test_dialer_receive_ca...\n...ll_with_locked_screen.py'
26115,'',"Bug 1095369 - [FFOS2.0][Woodduck][Browser]Wallpaper will display when ed...\n...it bookmark\r\n\r\nWhen changing orientation from portrait to landscape and resizing with keyboard on, the layout manager in the system app will resize the height of the active app first with the keyboard height in portrait (line 55 in layout_manager.js). When the height of the keyboard in portrait mode is bigger than the height in landscape mode, the calculated height of the active app will be smaller than it should've been. The system wallpaper is visible at the mean time. Subsequent resize events later will immediately correct the active app height using the correct landscape keyboard height.\r\n\r\nThe resizing event sequence is 'resize' --> 'keyboardchange' --> 'keyboardchange'. This patch disables the keyboard height check in the 'resize' event since it'd be incorrect during orientation change, which would display part of the system wallpaper in a flash."
26112,'',"Bug 1097912 - can't run unit tests via `./bin/gaia-test` r=ochameau\n"
26110,'','Bug 1097288 - [FTE] "Show Password" checkbox is indented in FTU when ent...\n...ering a wifi password'
26109,'','Bug 1098274 - [Stingray][Home] Add and remove card programitacally\nThis pull request contains 2 commits.\r\nPlease just review the one titled "bug 1098274 - [Stingray][Home] Add and remove card programitacally" since the other commit just belongs to another bug that hasn\'t committed yet.\r\nI refactored codes for key translating and gesture to `tv_shared` at that commit.'
26107,'','Bug 1098142 - Call to correct function of the version detector r=eragonj\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1098142'
26106,'','Bug 1098124 - Rearrange keyboard settings page scripts +shepherd\n'
26105,'','Bug 1098162 - [stingray][smart-system] Add spatial navigation to context...\n... menu'
26102,'','Bug 1093951 - Entering wifi power save mode when screen off. r=alive\nWhile screen is off, wifi would go to power save mode only\r\nwhen wifi lock is held. If wifi lock is not held, wifi would\r\nstay on and be turned off after |wifi.screen_off_timeout|.\r\nWe can more aggressively request the wifi driver to enter\r\npower save mode before timed out. This is what the patch\r\nintends to do.'
26101,'','Bug 1022728 - Prevent building gaia when running ./build.sh gecko\n'
26100,'','Bug 1094091 - [Stingray] Scaffolding Apps Deck of Stingray\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1094091'
26098,'','Bug 1097448 - Incorrect locales result in profile/webapps\n'
26095,'','Bug 1097503 - Implement ShadowStatusbar\n'
26094,'','Bug 1098118 - Pass correct number of arguments to browser API. r=alive\n'
26092,'','Bug 1093951 - Entering wifi power save mode when screen off.\nWhile screen is off, wifi would go to power save mode only\r\nwhen wifi lock is held. If wifi lock is not held, wifi would\r\nstay on and be turned off after |wifi.screen_off_timeout|.\r\nWe can more aggressively request the wifi driver to enter\r\npower save mode before timed out. This is what the patch\r\nintends to do.'
26091,'','Bug 1093951 - Entering wifi power save mode when screen off.\nWhile screen is off, wifi would go to power save mode only\r\nwhen wifi lock is held. If wifi lock is not held, wifi would\r\nstay on and be turned off after |wifi.screen_off_timeout|.\r\nWe can more aggressively request the wifi driver to enter\r\npower save mode before timed out. This is what the patch\r\nintends to do.'
26090,'','Bug 1097564 - Support promise for NFC related WebAPI. r=alive\n'
26089,'',"Bug 1079692: update video thumbnail titles asynchonously so we don't blo...\n...ck when the user rotates the phone\r\n\r\nMerge pull request #25046 from russnicoletti/bug-1079692\r\n\r\nBug 1079692 --  [Flame][Woodduck][Free Test][Video] Make video title truncation code more efficient r=djf(cherry picked from commit 8ff816af5a665b9e1acef49b4163a4fbea48b54a)\r\n\r\nfix spelling error in method name"
26088,'','Bug 1098024 - [Costcontrol] Navigation error between tabs\n'
26086,'','Bug 1087184, second part of fix, to allow for undefined emailAddress\nReated to 3c1668ad793d4f1a40831c46638acef38e0db230'
26085,'','Bug 1097962 - [costcontrol] costcontrol-test/unit/fte_test.js each test with JavaScript Error message r=salva\n'
26083,'','BUG 1068093 - Remove legacy transition code from the callscreen\n'
26082,'','Bug 1072498 - Remove the apz.force-enable setting and assume it is alway...\n...s true. r=fabrice'
26081,'',"Bug 1079692: update video thumbnail title asynchonously so we don't bloc...\n...k when the user rotates the phone\r\n\r\nfix spelling error in method name\r\n(cherry picked from commit c03c7e97ee867749f94ca523b239c0e5c74ece16)\r\n\r\nMerge pull request #25046 from russnicoletti/bug-1079692\r\n\r\nBug 1079692 --  [Flame][Woodduck][Free Test][Video] Make video title truncation code more efficient r=djf(cherry picked from commit 8ff816af5a665b9e1acef49b4163a4fbea48b54a)"
26079,'','Bug 1096603 - [Flatfish] [FxA] [FTE] Register/ Log in screen during setup is blank \nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1096603'
26078,'','Bug 1093797 - Clear cached picture size when releasing camera.\n'
26077,'','Bug 1093797 - Clear cached picture size when releasing camera.\n'
26076,'','Bug 1054326: Image compare using python marionette \nAttempt to add this branch into master'
26075,'','Bug1087058-[Gallery][RTL]-Fix of split photo in fullscreen view when language is set to Arabic r=djf\n'
26072,'','Bug 1095825 - instead of checking settings app right away, account for a...\n...ll the transitions and wait for it.'
26070,'','Bug 1095902 - Remove the two extra characters\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1095902'
26069,'','Bug 1093692 - Progressbar on fullscreenapps missplaced r=mhenretty\n'
26068,'','Bug 1092394 - [Contacts] Accessing the contact details from the call log...\n... Call information, the User lands briefly in Import Contacts before transitioning to the contact details screen. r=jmcantera'
26066,'',"Bug 1097653 - XFail test_play_ogg_video.py on desktop MAC as it's genera...\n...ting intermittent fails"
26065,'','Bug 1081731 - Simple support for private browsing\nThis is an experiment which creates two entry points to private browsing on FirefoxOS. One being in the context menu when long tapping on any link, and the other being in the browser "overflow" menu at the top of every page.\r\n\r\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1081731'
26064,'','Disable cost control tests because of Bug 1061698\n'
26062,'','Bug 1097564 - Support promise for NFC related WebAPI. r=alive\n'
26061,'','Bug 1091648 - Follow up 1089829 - [Usage] Show a note to notice user wha...\n...t are the format constrains for data limit'
26060,'','Bug 1097564 - Support promise for NFC related WebAPI. r=alive\n'
26059,'','Bug 1092391 - Fix attentionWindow race condition with lockscreen keyboard r=alive\n'
26058,'','This is only a test DO NOT MERGE\n'
26056,'','Bug 969215 - Follow-up, update node modules revision\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=969215'
26054,'',"Bug 1094550 - Unable to create a new account because Year of Birth dropdown\ndoesn't work.\n\n- Create a value selector overlay to listen to the event for\nshowing value selector for trusted UI."
26053,'',"Bug 1073806 - In Gaia, bypass system-resize in LayoutManager in window resize event if Keyboard is showing and we've just changed orientation\n"
26052,'','Bug 1074643 - When we inputted "a"to input box,the contact name display ...\n...incorrectly.Patch v2.0m'
26051,'',"[POC Code for Integration Testing] Bug 1073806 - In Gaia, Bypass system-resize in LayoutManager in window.onresize if Keyboard is showing and we've just changed orientation\n"
26050,'',"Bug 1095369 - [FFOS2.0][Woodduck][Browser]Wallpaper will display when ed...\n...it bookmark\r\n\r\nWhen changing orientation from portrait to landscape and resizing with keyboard on, the layout manager in the system app will resize the height of the active app first with the keyboard height in portrait (line 55 in layout_manager.js). When the height of the keyboard in portrait mode is bigger than the height in landscape mode, the calculated height of the active app will be smaller than it should've been. The system wallpaper is visible at the mean time. Subsequent resize events later will immediately correct the active app height using the correct landscape keyboard height.\r\n\r\nThe resizing event sequence is 'resize' --> 'keyboardchange' --> 'keyboardchange'. This patch disables the keyboard height check in the 'resize' event since it'd be incorrect during orientation change, which would display part of the system wallpaper in a flash."
26047,'',"Bug 1079692: update video thumbnail title asynchonously so we don't bloc...\n...k when the user rotates the phone"
26046,'','Bug 1093862 - Make Callscreen not respond to user input while there are no currently handled calls. r=gtorodelvalle, r=thills\n'
26045,'','Bug 1088157 - Unlock lockScreen when FTU starts\nWe were already listening for ftuopen but not ever handling the event. \r\n'
26037,'','Bug 1095738 - [Calendar] rename the MonthsDay view r=gaye\n'
26036,'','Bug 1095468 - Configure geolocation url to localhost. r=kgrandon\n'
26033,'','Bug 1066243 - [Status Bar][Battery] Battery indicator not always properl...\n...y updating when charging/disconnecting'
26031,'','Bug 1096928 - Address intermittent in test_add_contact_to_favorites.py\n'
26030,'','Bug 1074117 - Use expected conditions and optimise element lookups in contacts app object\n'
26029,'','Bug 998147 - Uplift for 2.0.  Modify callEnded to tell if call was rejec...\n...ted and not send notification'
26026,'',"Bug 1084224 - [Midori 2.0][Contacts][Facebook]keep logging out interface...\n... when user clicks 'x' on the window"
26025,'',"Bug 1067677 - Make wifi scanning in FTU more reliable and quicker (r=fcampo)\n\r\n----\r\nCode submitted by Giovanni Charles\r\nRebased later by Fernando Campo\r\n(see bug's comments for explanation)"
26023,'','Bug 1096745 - Limit the scope of lockscreen CSS to eliminate unnecessary...\n... restyle.'
26021,'','Bug 1087813 - Fix the unable to entry Settings app menus on Flatfish\n'
26020,'','Bug 1096857 - Remove all english strings from the HTML code\n'
26018,'','Bug 1087383 - Add a test that sets the wallpaper from Gallery, by long p...\n...ress on the screen'
26017,'','Bug 1092962 - [FFOS2.0][Woodduck][Voicemail]There is any prompt message ...\n...when dial the voicemail number by long press the "1" key.'
26016,'','Bug 1091483 - Unable to show stk dialog (e.g. user confirmation dialog) ...\n...when foreground app is Callscreen'
26014,'','[Keyboard][Handwriting] Replace HandwritingPadsManager with HandwritingP...\n...adTargetHandler'
26013,'','Bug 1096745 - Limit the scope of lockscreen CSS to eliminate unnecessary...\n... restyle.'
26012,'','Bug 1093424 - passcode entry on lockscreen no longer has delete key (jus...\n...t Cancel) after entering one character'
26011,'','Bug 1096737 - [Settings] All unit tests of settings app are not running\n'
26010,'','Bug 1096572 - [Building Blocks] Update some RTL styles to match latest RTL spec\nChanges, in keeping with the latest RTL spec, as of November 5:\r\n\r\n* buttons.css: removes a padding that seems out of place with current design, does not have an equivalent style for LTR layouts.\r\n* headers.css: keeps the header buttons and icon visuals in same layout as LTR.\r\n* tabs.css: for bb-tablist: keeps the buttons laid out in same horizontal layout as LTR.'
26009,'','Bug 1096379 - TEST-UNEXPECTED-FAIL for email test, need to wait for all tests to be renabled\n'
26008,'','Bug 1087813 - Fix the unable to entry Settings app menus on Flatfish\nThe self pointing to window, we should not use it.'
26007,'','Bug 1094185 - [DSDS] Make testvars.json handle 2 SIMs\n'
26006,'','Bug 1082675 - Enable homescreen app-grouping permanently. r=kgrandon,crdlc\nThis reverts commit 071efd0eb9d962d4f96edc28d672e48910f48387.'
26005,'','Bug 1096305 - Corrected the en-US l10n id of the content provisioning configuration accept message\n'
26004,'','Bug 1095466 - Make marketplace api url overrideable. r=kgrandon\n'
26002,'','Bug 1094185 - [DSDS] Make testvars.json handle 2 SIMs\n'
26001,'','Bug 1094746 - [Dialer][Call Screen] Remove horizontal line at the bottom of a conference participant list overlay of a conference participant list overlay. r=gtorodelvalle\n'
26000,'','bug 1096231 - [Stingray][smart-home]Prevent src hash from blocking activ...\n...ity/system message'
25999,'','Bug 1094185 - [DSDS] Make testvars.json handle 2 SIMs\n'
25998,'','Bug 1096057 - Added cs-qwerty layout\nThe only difference from cs.js is that it is QWERTY, not QWERTZ.\r\n\r\nAlthough, this is not an official layout according to the Czech\r\ntechnical norms, it is very widely used “in the wild”.'
25996,'','Bug 1092195 - Investigate failure in test_cost_control_ftu.py\n'
25994,'','Bug 1095805 - [System][SHB] Enable software home styles for crash dialog +autoland\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1095805'
25993,'','Bug 1091166 - Fix the color contrast value when enabling it\nThe color contrast should also be multiplied by CONTRAST_CAP (0.6)\r\nwhen enabling the color filter option.'
25991,'','Bug 943165 - visual adjustments to contact prompt header\n'
25990,'','Bug 1089529 - Lockscreen error after screen off and on when device shows...\n... NFC shrinking UI'
25988,'','Bug 1096035 - [Usage] Add linebreak to debug() function\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1096035'
25987,'','Bug 1091166 - Fix the color contrast value when enabling it\nThe color contrast should also be multiplied by CONTRAST_CAP (0.6)\r\nwhen enabling the color filter option.'
25985,'','Bug 1094003 - [Text Selection] Pop-up menu UI improvement\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1094003'
25983,'','Bug 1089529 - Lockscreen error after screen off and on when device shows...\n... NFC shrinking UI'
25982,'','Bug 1089529 - Lockscreen error after screen off and on when device shows...\n... NFC shrinking UI'
25981,'','Bug 1095714 - [SearchWindow] Remove SettingsListener on destroy +autoland\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1095714'
25980,'','Bug 1094122 - Do not save activeLayout to settings if setKeyboardToShow is called with launchOnly=true\n'
25979,'','Bug 941969 - optimize JS for system app\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=941969'
25978,'','Bug 1096147 - [uitests] Show API version in Bluetooth panel\n'
25977,'','Bug 1092425 - System apps should follow text selection pattern.\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1092425'
25976,'','Bug 1040651 - Map a preference to a Gaia setting to enable Layerscope r=arthurcc\nAdd a new option, "LayerScope", in "Settings -> Developer", so we can\r\nenable this perference dynamically, instead of enabling it manually by\r\nedit-prefs.sh.'
25975,'','Bug 1094561 - InputAppList +shepherd\n'
25974,'','Bug 1095320 - [Text Selection] Copy/Paste bubble is behind the rocketbar backdrop if we select word in rocketbar.\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1095320'
25973,'','Bug 1095187 - Software Home Button - File Open Error Proper layout for file error dialog - Wait for download success +autoland\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1095187'
25971,'','Bug 936823 - [FTE] on last attempt for correct PUK, two messages with sa...\n...me meaning shown/concatenated (r=fcampo)'
25970,'','Bug 1089621 - Improve janky edge gestures. r=etienne,eitan\n'
25969,'','Bug 1089528 - Do not open app until utility tray is pulled down r=Cwiiis\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1089528'
25967,'','Bug 1095813 - Fixup use int instead of strings\n'
25965,'','Bug 1095818 v2.1 - [email] app startup by notification goes to message list instead of message reader\n'
25964,'','Bug 1095818 - [email] app startup by notification goes to message list instead of message reader\nAs discussed in the bug, just moves the notificationClosed listener registration after the one for notification.'
25963,'','Bug 1094847 - Fix output of test harness r=lightsofapollo +autolander\n'
